"car_initial","car_number","axle_side","eqp_axle_nbr","Start_year","Start_month","start_date","end_year","End_month","End_date","Train_type","origin_station","destination_station","Train_Priority","kipread_day","kipread_month","kipread_year","kipread_hour","kipread_minute","kipread_secs","VNDR_EDR_NME","EDR_VNDR","AGE","EQP_SEQ_NBR","WHL_AVG_KIPS","WHL_PEAK_KIPS","WHL_DYN_KIPS","WHL_DYN_RATIO","EDR_EQP_SPD","EQP_GRS_TONS","TARE","car_type","car_characteristic","EQP_GRP","GRS_RAIL_WGT","KIPDAYS","RPR_WHY_CD","weight"
"IXUA",293482,"L",1,2011,9,4,2014,10,22,"E","FUG","DWP","A",1,7,2012,5,19,0,"ROGN","SALIENT",301,44,34.56,44.07,9.51,1.28,38.69,22.2,22,"J",311,"GOND",286000,807.3,11,122.9
"IXUA",294465,"R",3,2011,1,5,2014,11,24,"E","FUG","DWP","A",1,7,2012,5,19,0,"ROGN","SALIENT",543,43,39.0,42.15,3.15,1.08,38.67,25.5,24,"J",301,"GOND",286000,1507.63,11,120.6
"AFOA",93841,"R",1,2010,6,27,2013,6,27,"E","PLF","DWP","A",2,7,2012,16,17,0,"ROGN","SALIENT",736,94,39.55,50.1,10.55,1.27,39.01,25.1,24,"K",341,"HOPP",286000,12688.37,11,122.5
"EQ",869568,"L",2,2012,2,9,2013,8,19,"E","KDI","ENP","A",5,7,2012,13,49,0,"ROGN","SALIENT",147,63,33.94,36.68,2.74,1.08,35.45,22.7,21,"J",311,"GOND",286000,0.0,11,117.4
"EQ",867784,"R",1,2010,12,6,2013,8,2,"E","UEH","VFP","A",4,7,2012,19,42,37,"VELO","PRT",576,7,37.93,41.9,3.97,1.1,39.22,25.0,21,"J",311,"GOND",286000,0.0,11,125.8
"EQVI",904374,"R",3,2008,12,11,2013,6,3,"E","UEH","VFP","A",4,7,2012,19,42,37,"VELO","PRT",1301,13,38.22,44.27,6.05,1.16,39.3,23.4,21,"J",311,"GOND",286000,0.0,11,123.5
"EQVI",903308,"R",3,2010,3,7,2014,3,19,"E","UEH","VFP","A",4,7,2012,13,49,0,"PEST","SALIENT",850,21,39.23,48.49,9.26,1.24,34.77,22.2,20,"J",311,"GOND",286000,0.0,11,127.9
"EQVI",709665,"L",1,2011,5,12,2013,11,7,"X","PHP","EHQ","A",1,7,2012,9,2,0,"COCH","SALIENT",416,46,34.35,37.67,3.32,1.1,55.15,31.2,30,"C",114,"HOPP",286000,0.0,11,116.8
"KFVA",84619,"R",1,2009,8,18,2012,8,18,"E","VOS","UZP","A",5,7,2012,1,31,0,"ROGN","SALIENT",1052,12,35.85,37.81,1.96,1.05,52.6,21.7,20,"J",311,"GOND",286000,0.0,11,125.4
"WONA",45492,"R",4,2011,1,15,2014,1,15,"E","POW","QDP","A",1,7,2012,11,16,0,"ROGN","SALIENT",533,118,37.2,40.31,3.11,1.08,37.97,21.4,21,"J",311,"GOND",286000,0.0,11,122.8
"EQVI",992186,"L",1,2010,1,24,2012,11,16,"E","UEH","VFP","A",1,7,2012,12,19,0,"PEST","SALIENT",889,109,28.2,31.65,3.45,1.12,30.48,21.8,21,"J",311,"GOND",286000,0.0,11,97.3
"EQVI",903855,"R",1,2011,10,28,2014,7,22,"E","VOS","UZP","A",3,7,2012,19,9,0,"ROGN","SALIENT",249,5,34.76,40.72,5.96,1.17,36.87,22.3,21,"J",311,"GOND",286000,0.0,11,122.0
"FLWA",838995,"R",4,2010,8,7,2013,8,7,"E","VOS","UZP","A",3,7,2012,19,9,0,"ROGN","SALIENT",696,110,35.06,40.38,5.32,1.15,37.57,20.7,21,"J",311,"GOND",286000,0.0,65,124.5
"EQVI",711818,"R",1,2010,2,13,2013,2,13,"X","JDW","EZN","A",1,7,2012,13,18,30,"CHRS","PRT",869,46,39.18,42.75,3.57,1.09,29.99,30.7,31,"C",114,"HOPP",286000,0.0,11,106.2
"WJQA",63757,"L",1,2010,7,16,2013,7,16,"E","GRO","ENP","D",1,7,2012,13,23,0,"ROGN","SALIENT",716,50,34.4,36.41,2.01,1.06,40.32,21.2,20,"J",311,"GOND",286000,0.0,64,115.8
"WJQA",65076,"R",2,2010,2,25,2013,4,25,"E","GRO","ENP","D",1,7,2012,13,23,0,"ROGN","SALIENT",857,10,42.78,62.23,19.45,1.45,39.71,21.6,20,"J",311,"GOND",286000,1816.02,65,126.6
"WJQA",65708,"R",4,2009,1,18,2014,6,6,"E","GRO","ENP","D",1,7,2012,13,23,0,"ROGN","SALIENT",1260,73,35.9,37.5,1.6,1.04,40.16,20.9,20,"J",311,"GOND",286000,0.0,11,118.5
"EQ",868237,"R",2,2011,10,14,2014,6,11,"E","UEH","QDP","C",4,7,2012,0,13,0,"PEST","SALIENT",263,65,37.43,44.29,6.86,1.18,35.24,22.3,21,"J",311,"GOND",286000,0.0,11,128.2
"WJQA",64757,"R",4,2009,11,24,2014,11,3,"E","VOS","UZP","A",5,7,2012,3,17,0,"ROGN","SALIENT",954,94,37.46,41.21,3.75,1.1,50.32,21.0,20,"J",311,"GOND",286000,0.0,11,123.4
"VSVA",9015,"R",1,2009,10,24,2012,10,24,"E","VXG","ZWP","A",1,7,2012,15,15,0,"BMRK","SALIENT",981,89,30.24,32.63,2.39,1.08,24.75,22.4,21,"J",311,"GOND",286000,0.0,11,131.3
"VSVA",9080,"R",4,2009,11,20,2012,11,20,"E","VXG","VFP","A",7,7,2012,20,22,23,"JOPP","PRT",960,79,36.4,42.63,6.23,1.17,39.61,25.4,21,"J",311,"GOND",286000,0.0,11,129.8
"GHHA",223711,"L",2,2011,10,27,2014,10,27,"E","VXG","ZWP","A",1,7,2012,15,15,0,"BMRK","SALIENT",248,114,41.99,43.89,1.9,1.05,25.02,21.8,20,"J",311,"GOND",286000,0.0,11,129.2
"SQMA",84434,"R",3,2009,7,28,2012,7,28,"E","VOS","UZP","A",1,7,2012,15,22,0,"ROGN","SALIENT",1069,120,38.44,42.53,4.09,1.11,27.82,21.0,20,"J",311,"GOND",286000,0.0,11,128.1
"FROA",7424,"L",4,2011,1,29,2012,12,19,"E","VSF","FUP","A",1,7,2012,16,52,0,"BMRK","SALIENT",519,97,31.29,35.43,4.14,1.13,24.73,23.6,22,"J",311,"GOND",286000,2875.44,65,131.4
"NFOA",739350,"L",2,2010,6,20,2013,6,20,"E","VDL","EDP","A",2,7,2012,8,38,4,"AMAZ","PRT",743,105,32.55,34.91,2.36,1.07,49.11,21.0,20,"J",311,"GOND",286000,0.0,60,116.2
"JJSA",453955,"L",3,2009,11,5,2012,11,5,"E","VDL","EDP","A",2,7,2012,8,38,4,"AMAZ","PRT",970,129,35.48,36.21,0.73,1.02,47.69,20.3,20,"J",311,"GOND",286000,0.0,60,114.7
"NFOA",27499,"L",3,2009,8,27,2013,3,18,"E","NFO","HWP","A",1,7,2012,18,37,7,"AMAZ","PRT",1039,50,34.06,36.38,2.32,1.07,55.09,22.2,21,"J",311,"GOND",286000,0.0,11,119.1
"WJQA",65431,"R",4,2009,12,12,2012,7,10,"E","VOS","UZP","A",3,7,2012,2,28,0,"ROGN","SALIENT",934,80,39.89,73.7,33.81,1.85,36.3,24.6,20,"J",311,"GOND",286000,9701.15,65,123.5
"JUGA",5735,"L",1,2010,5,28,2013,5,28,"E","NFF","UZP","A",1,7,2012,19,24,12,"AMAZ","PRT",765,94,33.38,36.86,3.48,1.1,48.27,21.9,20,"J",311,"GOND",286000,0.0,11,115.3
"EQVI",991792,"R",3,2009,3,1,2012,8,10,"E","UEH","QDP","C",1,7,2012,19,39,0,"PEST","SALIENT",1218,70,48.44,54.52,6.08,1.13,32.33,21.6,21,"J",311,"GOND",286000,13711.2,11,147.8
"FLWA",838841,"R",2,2012,2,28,2013,8,11,"E","UEH","QDP","C",1,7,2012,19,39,0,"PEST","SALIENT",124,96,43.02,46.77,3.75,1.09,32.45,21.5,21,"J",311,"GOND",286000,0.0,11,136.1
"EQVI",904290,"L",2,2011,3,14,2012,10,16,"E","UEH","QDP","C",2,7,2012,14,3,13,"VELO","PRT",476,21,38.08,45.01,6.93,1.18,39.93,24.8,20,"J",311,"GOND",286000,0.0,25,133.0
"EQVI",903595,"R",3,2011,12,21,2014,7,22,"E","FHE","QDP","A",1,7,2012,23,36,58,"PRAI","PRT",193,69,40.18,45.39,5.21,1.13,46.25,25.2,20,"J",311,"GOND",286000,0.0,65,120.3
"WONA",45712,"L",4,2011,10,12,2012,9,17,"E","POW","QDP","A",2,7,2012,0,21,0,"ROGN","SALIENT",263,111,33.27,40.07,6.8,1.2,33.54,21.2,21,"J",311,"GOND",286000,0.0,11,123.5
"EQVI",991810,"L",2,2009,4,16,2013,5,14,"E","VSW","QDP","A",2,7,2012,2,37,0,"ROGN","SALIENT",1173,67,32.77,35.6,2.83,1.09,37.61,21.5,21,"J",311,"GOND",286000,0.0,11,124.1
"EQEA",73423,"R",1,2010,12,13,2012,12,1,"E","KDI","FDP","A",5,7,2012,13,33,0,"ROGN","SALIENT",570,24,39.61,42.99,3.38,1.09,48.24,22.7,21,"J",311,"GOND",286000,0.0,11,125.0
"SQMA",83356,"R",4,2011,4,26,2014,4,26,"E","GRO","ENP","D",4,7,2012,13,40,0,"ROGN","SALIENT",435,124,37.61,39.24,1.63,1.04,30.1,21.4,21,"J",311,"GOND",286000,0.0,60,122.8
"EQVI",903190,"L",4,2011,8,4,2013,4,30,"E","FRE","ZWP","A",3,7,2012,21,48,18,"JOPP","PRT",334,85,39.3,40.72,1.42,1.04,38.99,25.2,21,"J",311,"GOND",286000,0.0,11,128.9
"EQVI",903054,"R",1,2011,5,3,2012,10,26,"E","FRE","ZWP","A",3,7,2012,21,48,18,"JOPP","PRT",427,87,30.45,35.24,4.79,1.16,38.84,25.1,21,"J",311,"GOND",286000,0.0,11,128.8
"DRN",99848,"L",1,2009,12,6,2012,12,6,"X","OYZ","FDW","M",4,7,2012,0,25,36,"VELO","PRT",940,11,39.51,66.28,26.77,1.68,37.17,36.0,30,"C",114,"HOPP",286000,4754.97,65,114.0
"WJQA",63903,"L",4,2011,12,27,2013,10,15,"E","VOS","UZP","A",2,7,2012,12,48,0,"ROGN","SALIENT",188,22,33.05,44.1,11.05,1.33,35.94,21.5,20,"J",311,"GOND",286000,0.0,11,123.8
"NSOA",9412,"R",3,2010,9,3,2014,10,11,"E","OUW","EWP","A",2,7,2012,12,59,14,"AMAZ","PRT",668,43,29.26,32.46,3.2,1.11,54.93,27.2,24,"K",341,"HOPP",286000,0.0,65,119.9
"NSOA",4556,"R",4,2011,10,31,2014,10,31,"E","OUW","EWP","A",2,7,2012,12,59,14,"AMAZ","PRT",245,100,32.41,36.99,4.58,1.14,53.6,28.1,25,"K",341,"HOPP",286000,0.0,75,114.6
"ZIFA",501,"L",4,2011,1,5,2014,2,19,"E","PDK","ENP","A",3,7,2012,10,26,35,"AMAZ","PRT",545,53,36.22,42.76,6.54,1.18,40.67,24.1,20,"J",311,"GOND",286000,1532.65,65,122.0
"ZIFA",610,"L",4,2010,6,12,2013,6,12,"E","PDK","ENP","A",3,7,2012,10,26,35,"AMAZ","PRT",752,13,37.29,44.45,7.16,1.19,44.69,24.6,20,"J",311,"GOND",286000,2764.85,60,118.3
"JHPA",8379,"R",1,2010,1,30,2013,1,30,"E","NFV","QDP","A",5,7,2012,3,24,49,"AMAZ","PRT",887,27,33.78,36.35,2.57,1.08,45.2,23.7,21,"J",311,"GOND",286000,0.0,11,122.1
"JHPA",8592,"R",4,2008,3,18,2014,11,25,"E","NFV","QDP","A",5,7,2012,3,24,49,"AMAZ","PRT",1570,97,35.36,36.46,1.1,1.03,47.02,22.0,21,"J",311,"GOND",286000,0.0,11,120.2
"JHPA",8515,"L",2,2011,9,4,2014,3,27,"E","NFV","QDP","A",5,7,2012,3,24,49,"AMAZ","PRT",305,12,36.24,38.61,2.37,1.07,47.01,22.8,21,"J",311,"GOND",286000,0.0,11,115.9
"JHPA",8437,"R",2,2010,3,3,2013,3,3,"E","NFV","QDP","A",5,7,2012,3,24,49,"AMAZ","PRT",855,89,36.25,39.76,3.51,1.1,45.3,21.8,21,"J",311,"GOND",286000,0.0,11,119.1
"JHPA",8644,"L",4,2009,2,8,2012,11,17,"E","NFV","QDP","A",5,7,2012,3,24,49,"AMAZ","PRT",1243,80,32.89,34.98,2.09,1.06,47.13,22.2,21,"J",311,"GOND",286000,0.0,65,117.9
"EQVI",904522,"R",4,2010,4,10,2013,4,10,"E","NFV","QDP","A",5,7,2012,3,24,49,"AMAZ","PRT",817,117,34.21,36.93,2.72,1.08,46.68,22.1,20,"J",311,"GOND",286000,0.0,11,120.8
"GWWA",979803,"L",4,2011,11,6,2014,11,6,"Q","ODF","FKL","K",3,7,2012,19,45,16,"LEED","PRT",240,5,22.49,28.16,5.67,1.25,60.44,61.9,25,"S",615,"IFLT",220000,1156.87,11,56.8
"EQVI",905421,"R",3,2011,8,30,2013,3,7,"E","UEH","VAP","A",3,7,2012,13,48,3,"VELO","PRT",308,93,36.94,40.58,3.64,1.1,36.55,27.5,20,"J",311,"GOND",286000,0.0,25,127.4
"EQ",867524,"R",3,2010,4,16,2013,2,16,"E","UEH","VAP","A",3,7,2012,13,48,3,"VELO","PRT",809,95,39.91,48.54,8.63,1.22,36.49,28.0,21,"J",311,"GOND",286000,0.0,11,130.1
"EQVI",992227,"L",3,2011,4,28,2014,7,22,"E","FRE","VFP","A",4,7,2012,1,25,28,"JOPP","PRT",433,33,38.04,43.72,5.68,1.15,37.81,23.6,20,"J",311,"GOND",286000,0.0,60,130.9
"EQ",869629,"R",2,2012,3,9,2014,6,15,"E","UEH","VFP","A",3,7,2012,2,30,0,"PEST","SALIENT",116,92,36.14,38.81,2.67,1.07,34.04,22.5,21,"J",311,"GOND",286000,0.0,11,123.4
"WJQA",64096,"R",2,2010,4,23,2013,4,23,"E","GRO","HEP","D",5,7,2012,18,53,0,"ROGN","SALIENT",804,111,36.57,38.34,1.77,1.05,36.31,20.5,20,"J",311,"GOND",286000,0.0,11,114.1
"FHIA",74689,"L",2,2010,9,22,2012,10,1,"E","VXG","EWP","A",6,7,2012,0,22,43,"JOPP","PRT",652,14,39.96,44.15,4.19,1.1,36.03,23.0,21,"J",311,"GOND",286000,0.0,11,142.1
"GHHA",213499,"R",1,2010,9,26,2014,8,29,"E","VXG","EWP","A",6,7,2012,0,22,43,"JOPP","PRT",648,35,40.35,43.61,3.26,1.08,36.55,25.1,21,"J",311,"GOND",286000,1643.12,11,138.2
"SQMA",84529,"L",3,2010,11,8,2012,8,12,"E","VOS","DWP","A",6,7,2012,2,14,0,"ROGN","SALIENT",606,118,38.54,47.63,9.09,1.24,37.27,20.7,20,"J",311,"GOND",286000,3155.52,11,128.2
"FHIA",78579,"R",2,2010,12,2,2013,12,2,"E","FUG","VFP","A",3,7,2012,17,42,0,"ROGN","SALIENT",579,6,35.54,42.43,6.89,1.19,35.01,21.3,20,"J",311,"GOND",286000,2450.82,11,124.0
"IXUA",293630,"R",4,2010,4,10,2013,7,30,"E","WKK","QDP","A",5,7,2012,8,50,6,"AMAZ","PRT",817,99,27.58,29.82,2.24,1.08,50.48,26.5,22,"J",311,"GOND",286000,0.0,11,106.1
"ZIDA",17144,"L",4,2009,7,24,2012,7,24,"E","VWO","GIP","A",3,7,2012,19,22,57,"JOPP","PRT",1075,43,34.34,38.76,4.42,1.13,36.9,33.9,31,"K",341,"HOPP",263000,0.0,73,103.8
"WONA",45792,"R",4,2010,10,29,2013,10,29,"E","POW","QDP","A",3,7,2012,22,43,0,"ROGN","SALIENT",613,103,37.3,41.02,3.72,1.1,43.86,21.1,21,"J",311,"GOND",286000,0.0,65,123.7
"WLOA",70636,"L",3,2009,11,14,2012,11,14,"E","GOK","VFP","A",3,7,2012,23,37,40,"JOPP","PRT",962,49,36.02,43.27,7.25,1.2,38.84,29.7,24,"K",381,"HOPP",286000,0.0,11,128.4
"WLOA",75792,"L",4,2009,10,31,2012,10,31,"E","FUG","DWP","A",4,7,2012,4,41,0,"ROGN","SALIENT",977,116,35.45,42.75,7.3,1.21,48.26,22.9,20,"J",311,"GOND",286000,0.0,11,122.8
"EQ",866804,"R",4,2011,3,25,2014,1,8,"E","VSW","QDP","A",4,7,2012,7,24,0,"ROGN","SALIENT",467,26,34.22,36.25,2.03,1.06,39.95,22.8,21,"J",311,"GOND",286000,0.0,65,118.7
"WJQA",63631,"L",3,2010,5,17,2014,9,29,"E","GRO","UZP","D",6,7,2012,12,56,0,"ROGN","SALIENT",781,33,35.92,40.94,5.02,1.14,38.82,21.3,20,"J",311,"GOND",286000,0.0,60,121.3
"GHHA",223379,"R",1,2011,12,4,2013,7,30,"E","VXG","VFP","A",7,7,2012,8,26,19,"JOPP","PRT",216,75,30.63,33.79,3.16,1.1,36.49,26.4,21,"J",311,"GOND",286000,0.0,11,113.2
"EQVI",560194,"L",4,2010,2,3,2014,2,27,"B","BDP","ODF","A",4,7,2012,16,35,0,"BAGD","SALIENT",882,18,26.35,27.34,0.99,1.04,47.27,90.7,88,"S",162,"IFLT",801000,0.0,65,199.6
"IXUA",296192,"L",4,2012,2,2,2013,3,12,"E","VZH","JMF","A",4,7,2012,17,12,0,"ROGN","SALIENT",153,90,36.48,40.38,3.9,1.11,30.3,23.1,21,"J",311,"GOND",286000,0.0,75,121.9
"EQVI",992041,"L",2,2008,3,4,2013,8,23,"E","EHQ","ZWP","A",5,7,2012,20,56,21,"JOPP","PRT",1584,64,37.35,46.82,9.47,1.25,37.17,26.6,21,"J",311,"GOND",286000,0.0,60,132.0
"EQVI",991462,"R",3,2011,8,10,2013,4,20,"E","EHQ","ZWP","A",5,7,2012,20,56,21,"JOPP","PRT",330,78,38.53,41.17,2.64,1.07,41.0,29.0,21,"J",311,"GOND",286000,0.0,11,132.7
"WAXA",6690,"L",2,2010,4,3,2013,4,3,"E","NEE","HEP","A",5,7,2012,12,52,43,"AMAZ","PRT",824,31,25.41,34.67,9.26,1.36,47.46,26.9,24,"K",346,"HOPP",286000,0.0,11,89.8
"WAXA",7316,"R",3,2010,9,17,2013,9,17,"E","NEE","HEP","A",5,7,2012,12,52,43,"AMAZ","PRT",657,92,28.19,33.13,4.94,1.18,49.47,24.6,24,"K",346,"HOPP",286000,0.0,60,89.0
"XWOA",545577,"L",4,2010,3,9,2013,3,9,"U","NFP","HOX","T",7,7,2012,18,53,0,"BMRK","SALIENT",851,26,34.77,38.71,3.94,1.11,24.51,34.8,32,"T",108,"TANK",263000,0.0,11,96.2
"FLWA",834426,"L",2,2010,12,2,2013,12,2,"E","VSW","QDP","A",5,7,2012,21,16,0,"ROGN","SALIENT",581,50,32.85,35.5,2.65,1.08,32.05,20.8,21,"J",311,"GOND",286000,0.0,75,124.2
"SURA",77262,"L",1,2010,4,23,2013,4,23,"U","PLA","VWQ","T",6,7,2012,14,50,0,"COCH","SALIENT",805,102,32.75,41.39,8.64,1.26,23.41,34.3,33,"T",108,"TANK",263000,0.0,11,101.9
"EQ",869601,"R",4,2010,10,27,2014,2,28,"E","FUG","HWP","A",6,7,2012,2,39,0,"ROGN","SALIENT",618,50,37.91,40.03,2.12,1.06,36.22,22.3,21,"J",311,"GOND",286000,5298.71,65,126.4
"EQ",869470,"L",2,2011,8,26,2014,4,25,"E","FUG","HWP","A",6,7,2012,2,39,0,"ROGN","SALIENT",315,60,34.11,37.42,3.31,1.1,36.64,21.8,21,"J",311,"GOND",286000,0.0,11,123.8
"EQ",868955,"L",1,2011,9,2,2014,8,29,"E","FUG","HWP","A",6,7,2012,2,39,0,"ROGN","SALIENT",308,44,37.34,41.31,3.97,1.11,36.18,22.5,21,"J",311,"GOND",286000,0.0,75,123.6
"EQVI",503719,"R",4,2010,9,3,2013,9,3,"B","KRO","VFR","A",6,7,2012,9,46,0,"BAGD","SALIENT",672,6,27.65,42.07,14.42,1.52,54.25,96.7,94,"S",367,"IFLT",800000,0.0,64,159.6
"EQ",869444,"R",1,2010,3,15,2013,8,11,"E","UEH","VAP","A",16,11,2012,9,31,0,"PEST","SALIENT",977,113,31.17,33.8,2.63,1.08,34.49,22.5,21,"J",311,"GOND",286000,0.0,11,121.0
"EQVI",719052,"R",2,2011,7,26,2014,7,26,"X","WDF","JOH","M",16,11,2012,10,27,22,"JOPP","PRT",479,87,39.43,44.83,5.4,1.14,34.58,32.9,31,"C",114,"HOPP",286000,0.0,11,122.6
"KHTA",9559,"R",2,2010,8,24,2013,8,24,"E","VXG","VFP","A",21,11,2012,18,12,40,"JOPP","PRT",820,28,42.11,48.48,6.37,1.15,42.95,26.7,21,"J",311,"GOND",286000,0.0,60,131.8
"GHHA",223073,"L",3,2009,12,23,2012,12,23,"E","VXG","VFP","A",21,11,2012,18,12,40,"JOPP","PRT",1064,71,36.27,38.92,2.65,1.07,39.46,25.0,21,"J",311,"GOND",286000,0.0,73,127.3
"GHHA",7975,"R",4,2008,1,30,2013,7,24,"E","VXG","VFP","A",16,11,2012,11,48,27,"JOPP","PRT",1752,25,32.91,36.36,3.45,1.1,36.16,27.0,23,"J",301,"GOND",286000,0.0,11,123.1
"GHHA",93736,"L",4,2010,12,19,2013,12,19,"E","VXG","VFP","A",16,11,2012,11,48,27,"JOPP","PRT",698,60,33.21,43.01,9.8,1.3,37.66,28.9,20,"J",311,"GOND",286000,0.0,11,141.2
"GHHA",223348,"L",2,2011,6,9,2014,6,9,"E","VXG","VFP","A",21,11,2012,18,12,40,"JOPP","PRT",531,110,34.27,37.92,3.65,1.11,40.67,24.7,21,"J",311,"GOND",286000,0.0,11,116.2
"RIRA",634545,"L",3,2010,1,5,2013,1,5,"E","KDI","FDP","A",20,11,2012,18,56,0,"ROGN","SALIENT",1050,73,41.22,45.13,3.91,1.09,36.99,20.5,20,"J",311,"GOND",286000,0.0,60,123.6
"EQVI",904232,"L",4,2012,8,15,2014,2,3,"E","FRE","VFP","A",20,11,2012,19,56,25,"JOPP","PRT",97,22,34.48,37.54,3.06,1.09,36.9,27.3,20,"J",311,"GOND",286000,0.0,75,134.6
"EVSA",4832,"R",2,2009,2,27,2014,8,7,"E","EVE","UZP","A",16,11,2012,15,18,51,"JOPP","PRT",1358,82,42.76,45.41,2.65,1.06,41.17,27.7,21,"J",311,"GOND",286000,0.0,61,135.0
"GHHA",93875,"L",1,2009,12,30,2014,12,16,"E","VXG","VFP","A",20,11,2012,5,39,26,"JOPP","PRT",1056,65,33.68,35.27,1.59,1.05,40.01,25.4,20,"J",311,"GOND",286000,0.0,65,129.0
"GHHA",8849,"R",2,2010,8,20,2013,8,20,"E","VXG","VFP","A",20,11,2012,5,39,26,"JOPP","PRT",823,40,40.19,43.89,3.7,1.09,39.85,28.1,22,"J",301,"GOND",286000,0.0,11,123.1
"EQVI",560695,"R",5,2011,1,17,2014,1,7,"B","NFN","VHD","A",17,11,2012,5,10,0,"PEST","SALIENT",670,29,24.78,45.0,20.22,1.82,35.35,89.3,89,"S",162,"IFLT",801000,28.53,65,174.1
"WJQA",64309,"R",3,2010,7,28,2014,7,7,"E","GRO","HEP","D",21,11,2012,4,20,0,"ROGN","SALIENT",847,55,34.08,39.1,5.02,1.15,36.01,20.5,20,"J",311,"GOND",286000,0.0,11,124.5
"DGOA",454727,"R",3,2011,8,12,2014,8,12,"E","VXG","VFP","A",20,11,2012,17,56,31,"JOPP","PRT",466,51,37.34,43.87,6.53,1.17,38.32,25.4,20,"J",311,"GOND",286000,0.0,11,133.7
"KHTA",9761,"L",1,2011,6,16,2014,6,16,"E","VXG","VFP","A",20,11,2012,17,56,31,"JOPP","PRT",523,90,33.27,36.77,3.5,1.11,40.01,25.0,21,"J",311,"GOND",286000,0.0,11,131.9
"GHWA",689,"R",3,2010,8,1,2013,8,1,"E","VXG","VFP","A",20,11,2012,17,56,31,"JOPP","PRT",842,110,38.85,42.02,3.17,1.08,40.01,24.9,21,"J",311,"GOND",286000,0.0,11,130.7
"FHIA",74905,"R",2,2010,7,6,2013,3,18,"E","VXG","VFP","A",20,11,2012,17,56,31,"JOPP","PRT",868,34,40.82,59.11,18.29,1.45,38.32,26.2,21,"J",311,"GOND",286000,6960.7,65,131.3
"KHTA",9300,"L",3,2011,3,11,2014,3,11,"E","VXG","VFP","A",20,11,2012,17,56,31,"JOPP","PRT",620,115,38.17,41.74,3.57,1.09,39.85,26.2,21,"J",311,"GOND",286000,0.0,11,133.6
"FLWA",833075,"R",4,2010,2,18,2013,2,18,"E","WKK","QDP","A",16,11,2012,22,5,46,"AMAZ","PRT",1002,89,35.79,37.96,2.17,1.06,57.98,23.5,22,"J",311,"GOND",286000,0.0,11,120.5
"FHIA",76205,"R",2,2011,8,11,2012,11,30,"E","WKK","QDP","A",16,11,2012,22,5,46,"AMAZ","PRT",463,12,36.18,38.13,1.95,1.05,57.48,24.0,21,"J",311,"GOND",286000,0.0,11,124.1
