"car_initial","car_number","axle_side","eqp_axle_nbr","Start_year","Start_month","start_date","end_year","End_month","End_date","Train_type","origin_station","destination_station","Train_Priority","kipread_day","kipread_month","kipread_year","kipread_hour","kipread_minute","kipread_secs","VNDR_EDR_NME","EDR_VNDR","AGE","EQP_SEQ_NBR","WHL_AVG_KIPS","WHL_PEAK_KIPS","WHL_DYN_KIPS","WHL_DYN_RATIO","EDR_EQP_SPD","EQP_GRS_TONS","TARE","car_type","car_characteristic","EQP_GRP","GRS_RAIL_WGT","KIPDAYS","RPR_WHY_CD","weight"
"DWZ",642481,"L",3,2012,7,24,2014,5,29,"X","WDF","JOH","M",16,11,2012,10,27,22,"JOPP","PRT",115,51,36.64,42.2,5.56,1.15,34.77,34.4,31,"C",114,"HOPP",286000,0.0,11,124.5
"JUGA",5688,"R",3,2011,12,26,2014,12,26,"E","NFF","FDP","A",18,11,2012,12,21,25,"AMAZ","PRT",328,55,37.75,39.74,1.99,1.05,55.55,22.0,20,"J",311,"GOND",286000,0.0,65,124.4
"EVSA",4850,"L",4,2008,8,28,2014,4,9,"E","EVE","UZP","A",16,11,2012,15,18,51,"JOPP","PRT",1541,117,39.9,41.95,2.05,1.05,39.38,27.8,21,"J",311,"GOND",286000,0.0,65,134.7
"EQVI",561343,"L",8,2010,7,27,2013,7,27,"B","BXF","VFR","A",16,11,2012,20,53,0,"BAGD","SALIENT",843,7,31.75,41.07,9.32,1.29,51.91,94.1,93,"S",162,"IFLT",799600,0.0,64,228.5
"VKSA",531936,"L",2,2010,4,4,2013,4,4,"U","KDB","WQG","A",16,11,2012,22,22,40,"PRAI","PRT",957,39,28.65,36.5,7.85,1.27,37.17,34.9,32,"T",108,"TANK",263000,0.0,11,95.3
"EQVI",714519,"R",1,2010,3,2,2013,1,10,"X","YDZ","VBQ","H",18,11,2012,5,11,1,"MALT","PRT",992,84,37.58,66.29,28.71,1.76,35.64,34.4,31,"C",114,"HOPP",286000,6525.55,11,114.5
"FDLA",74358,"L",1,2011,7,23,2014,7,23,"E","VOS","UZP","D",18,11,2012,1,49,44,"CHRS","PRT",484,55,34.51,38.53,4.02,1.12,38.92,24.5,21,"J",311,"GOND",286000,0.0,11,123.5
"EQVI",709159,"L",1,2011,9,29,2013,12,11,"X","HOS","WFZ","A",18,11,2012,9,32,17,"AMAZ","PRT",416,16,32.55,35.14,2.59,1.08,47.01,33.8,30,"C",114,"HOPP",286000,0.0,11,110.8
"EQVI",702202,"R",2,2010,9,17,2013,1,10,"X","WDF","NQG","M",17,11,2012,10,36,41,"JOPP","PRT",792,15,28.52,54.92,26.4,1.93,39.22,36.2,31,"C",114,"HOPP",286000,2397.67,65,101.7
"SQMA",84418,"R",2,2010,1,2,2013,1,2,"E","VOS","UZP","D",17,11,2012,12,20,24,"WHET","PRT",1050,30,35.89,59.24,23.35,1.65,38.61,23.3,20,"J",311,"GOND",286000,1974.25,61,122.6
"QFXA",44501,"R",2,2011,6,19,2014,6,19,"E","VOS","FDP","D",17,11,2012,17,42,0,"ROGN","SALIENT",517,39,34.82,39.9,5.08,1.15,37.07,21.9,21,"J",311,"GOND",286000,0.0,11,120.7
"WONA",45700,"R",2,2010,1,27,2012,12,12,"E","POW","ZWP","A",21,11,2012,2,50,0,"ROGN","SALIENT",1029,5,39.93,42.63,2.7,1.07,41.81,21.6,21,"J",311,"GOND",286000,0.0,78,121.9
"EQVI",903478,"L",4,2010,5,23,2013,10,20,"E","EHQ","EWP","A",21,11,2012,0,6,49,"JOPP","PRT",912,34,32.88,34.37,1.49,1.05,37.1,24.7,20,"J",311,"GOND",286000,6181.63,11,137.2
"NOOA",44367,"L",1,2010,10,15,2013,10,15,"E","POW","DWP","A",21,11,2012,8,6,0,"ROGN","SALIENT",768,110,33.73,38.07,4.34,1.13,29.92,25.4,24,"K",341,"HOPP",286000,0.0,11,119.9
"ZIFA",749,"L",2,2010,11,18,2013,11,18,"E","PDK","ZWP","A",20,11,2012,4,32,52,"AMAZ","PRT",733,64,36.55,47.68,11.13,1.3,58.84,23.0,20,"J",311,"GOND",286000,0.0,65,125.5
"QGBA",463379,"L",1,2009,12,12,2012,12,12,"U","FAE","HOX","T",24,11,2012,9,25,0,"BMRK","SALIENT",1078,86,26.38,51.27,24.89,1.94,24.11,33.6,32,"T",108,"TANK",263000,1332.1,75,88.9
"DPWA",43524,"R",3,2009,12,4,2012,12,4,"E","POW","QDP","A",27,11,2012,10,37,0,"ROGN","SALIENT",1089,50,35.42,47.31,11.89,1.34,30.76,25.4,24,"K",341,"HOPP",286000,0.0,11,123.8
"EQVI",718791,"R",4,2011,1,2,2014,1,2,"X","VZD","JQZ","A",26,11,2012,17,0,23,"GAGE","PRT",694,99,36.15,72.23,36.08,2.0,50.48,33.0,30,"C",114,"HOPP",286000,1299.03,11,112.8
"EQVI",903188,"R",3,2012,6,23,2014,1,13,"E","EHQ","ZWP","A",24,11,2012,17,2,58,"JOPP","PRT",154,110,34.98,45.43,10.45,1.3,40.01,25.6,21,"J",311,"GOND",286000,0.0,11,126.1
"IXUA",299922,"L",2,2010,4,14,2013,4,14,"E","WKK","QDP","A",26,11,2012,10,48,43,"AMAZ","PRT",957,130,38.41,39.76,1.35,1.04,51.92,27.3,20,"J",311,"GOND",286000,0.0,64,101.1
"FRDA",21800,"R",2,2011,7,10,2014,7,10,"E","VSW","QDP","A",25,11,2012,4,5,0,"ROGN","SALIENT",504,44,35.39,41.03,5.64,1.16,36.34,26.1,24,"K",341,"HOPP",286000,0.0,11,118.8
"EQVI",714432,"R",2,2009,11,2,2013,1,3,"X","OYZ","DQG","H",25,11,2012,6,10,4,"MALT","PRT",1119,10,37.4,78.65,41.25,2.1,44.0,34.6,31,"C",114,"HOPP",286000,2435.39,65,113.5
"ISSA",85454,"L",2,2011,1,9,2014,1,9,"E","KDI","FGP","A",27,11,2012,11,55,0,"ROGN","SALIENT",688,42,36.49,41.21,4.72,1.13,39.11,20.5,20,"J",311,"GOND",286000,0.0,75,125.3
"WAXA",7373,"R",4,2011,5,4,2014,5,4,"E","NFP","EWP","A",25,11,2012,15,55,22,"AMAZ","PRT",571,59,31.04,32.84,1.8,1.06,53.46,25.1,24,"K",346,"HOPP",286000,0.0,11,114.9
"FLWA",838528,"L",3,2010,6,22,2013,6,22,"E","UEH","VAP","A",27,11,2012,11,41,41,"VELO","PRT",889,20,34.52,37.1,2.58,1.07,39.15,26.3,21,"J",311,"GOND",286000,2997.1,11,116.0
"EQVI",702356,"R",2,2009,4,9,2012,8,17,"X","HOS","OPQ","A",10,7,2012,11,56,0,"AMAZ","PRT",1188,9,54.39,74.61,20.22,1.37,37.52,35.3,31,"C",114,"HOPP",286000,2574.42,61,123.2
"ZIFA",608,"R",3,2011,3,26,2014,3,26,"E","PDK","ENP","A",9,7,2012,17,1,9,"AMAZ","PRT",471,14,33.23,36.74,3.51,1.11,42.31,21.4,20,"J",311,"GOND",286000,0.0,11,118.2
"EQVI",992196,"R",1,2010,8,11,2012,10,13,"E","EHQ","DEP","A",14,7,2012,17,10,9,"JOPP","PRT",703,19,37.62,48.86,11.24,1.3,35.96,23.5,21,"J",311,"GOND",286000,0.0,11,121.1
"EQVI",904017,"L",1,2012,2,2,2012,10,26,"E","FRE","ZWP","A",10,7,2012,20,24,43,"JOPP","PRT",159,25,26.46,31.07,4.61,1.17,24.8,19.7,20,"J",311,"GOND",286000,0.0,11,100.3
"WLOA",76770,"L",3,2011,5,5,2014,5,5,"E","WKK","QDP","A",9,7,2012,21,24,32,"AMAZ","PRT",431,61,36.43,58.2,21.77,1.6,53.31,32.0,20,"J",311,"GOND",286000,1141.56,65,125.9
"RIRA",634534,"R",1,2009,9,29,2012,9,29,"E","KDI","FDP","A",9,7,2012,22,38,0,"ROGN","SALIENT",1014,112,35.17,39.38,4.21,1.12,44.71,21.0,20,"J",311,"GOND",286000,0.0,11,116.9
"WJQA",65772,"L",4,2010,10,18,2013,10,18,"E","VOS","UZP","A",10,7,2012,7,55,0,"ROGN","SALIENT",631,47,37.11,39.77,2.66,1.07,44.04,21.2,20,"J",311,"GOND",286000,0.0,60,124.4
"DWVI",954882,"L",3,2008,1,22,2014,11,11,"M","EDU","VWR","A",10,7,2012,14,4,0,"WINT","SALIENT",1631,85,34.33,71.01,36.68,2.07,56.93,51.5,47,"R",600,"BOXC",263000,2711.69,11,81.1
"GWWA",782653,"R",1,2009,7,25,2012,7,25,"S","OED","DOW","A",10,7,2012,17,13,0,"KIRK","SALIENT",1081,12,20.64,49.14,28.5,2.38,54.04,53.5,25,"S",116,"IFLT",220000,1542.32,75,60.0
"EQVI",905549,"R",2,2010,9,28,2014,8,4,"E","VSV","DWP","A",11,7,2012,1,55,0,"ROGN","SALIENT",652,10,37.36,43.35,5.99,1.16,49.77,21.5,20,"J",311,"GOND",286000,0.0,11,124.0
"NFOA",639335,"R",3,2010,8,11,2013,11,5,"E","VDL","ZWP","A",11,7,2012,23,36,16,"AMAZ","PRT",700,51,35.88,38.36,2.48,1.07,52.75,22.2,20,"J",311,"GOND",286000,0.0,11,114.6
"UZVA",20316,"L",3,2010,6,4,2013,6,4,"E","PKV","EDP","C",11,7,2012,8,5,3,"SEYM","PRT",768,47,35.16,42.63,7.47,1.21,45.72,30.3,25,"K",346,"HOPP",286000,0.0,11,115.9
"PENA",77248,"L",1,2011,2,6,2012,11,13,"E","NFK","EDP","A",13,7,2012,2,8,31,"AMAZ","PRT",523,127,35.45,41.12,5.67,1.16,54.48,21.5,20,"J",311,"GOND",286000,0.0,11,118.3
"MKPA",22179,"R",4,2011,12,1,2014,12,1,"E","SDP","QDP","A",12,7,2012,1,6,48,"AMAZ","PRT",224,54,33.24,36.95,3.71,1.11,48.15,24.4,23,"K",346,"HOPP",286000,0.0,11,114.8
"EQEA",1385,"R",2,2009,12,3,2012,12,3,"E","VDL","HWP","A",12,7,2012,22,24,40,"AMAZ","PRT",952,82,38.34,39.78,1.44,1.04,50.47,21.2,20,"J",311,"GOND",286000,0.0,11,121.0
"WAXA",83784,"R",1,2011,10,13,2014,10,13,"E","NFP","HEP","A",13,7,2012,7,26,4,"AMAZ","PRT",274,76,28.8,33.04,4.24,1.15,53.03,24.6,24,"K",346,"HOPP",286000,0.0,11,116.5
"WAXA",83378,"R",3,2010,8,13,2013,8,13,"E","NEE","UZP","B",4,12,2012,11,30,11,"WHET","PRT",844,108,34.61,40.16,5.55,1.16,26.66,20.5,24,"K",346,"HOPP",286000,0.0,65,91.1
"EQ",869350,"L",4,2011,7,31,2013,12,28,"E","EHQ","ZWP","A",7,12,2012,17,48,17,"JOPP","PRT",495,24,31.43,35.71,4.28,1.14,38.84,26.1,21,"J",311,"GOND",286000,0.0,11,129.0
"EQ",868515,"L",3,2010,12,12,2013,12,12,"E","UEH","VFP","A",6,12,2012,4,33,27,"VELO","PRT",725,24,38.41,41.32,2.91,1.08,33.65,25.4,21,"J",311,"GOND",286000,0.0,64,123.7
"FHIA",75229,"L",1,2012,2,13,2014,11,4,"E","VXG","VFP","A",3,12,2012,2,41,55,"JOPP","PRT",294,49,37.18,41.36,4.18,1.11,36.36,26.9,21,"J",311,"GOND",286000,0.0,11,136.1
"EQ",866896,"L",1,2011,12,12,2013,8,16,"E","EHQ","ZWP","A",3,12,2012,4,56,25,"JOPP","PRT",357,32,33.81,40.9,7.09,1.21,42.13,28.2,20,"J",311,"GOND",286000,0.0,11,117.1
"MKPA",22523,"R",2,2010,11,4,2013,11,4,"E","SDP","HWP","A",3,12,2012,6,17,57,"AMAZ","PRT",760,43,36.76,45.14,8.38,1.23,50.09,31.1,23,"K",346,"HOPP",286000,0.0,11,125.5
"SQMA",83150,"R",3,2012,7,11,2014,12,8,"E","GRO","DWP","D",4,12,2012,11,47,0,"ROGN","SALIENT",146,78,31.37,34.96,3.59,1.11,38.1,21.0,20,"J",311,"GOND",286000,0.0,11,124.7
"DHUA",57300,"R",3,2010,1,6,2013,1,6,"E","GXG","ZWP","A",5,12,2012,6,25,31,"PRAI","PRT",1064,62,39.41,68.76,29.35,1.74,41.69,24.2,21,"J",311,"GOND",286000,1273.02,65,100.0
"FLWA",833162,"R",1,2011,7,27,2014,7,27,"E","FUG","HWP","A",5,12,2012,12,1,0,"ROGN","SALIENT",497,95,36.38,41.45,5.07,1.14,36.19,22.4,22,"J",311,"GOND",286000,0.0,11,122.6
"EQVI",992912,"R",4,2011,9,19,2014,9,19,"E","UEH","VFP","A",12,12,2012,16,33,26,"VELO","PRT",450,42,39.53,50.51,10.98,1.28,32.07,26.7,21,"J",311,"GOND",286000,0.0,11,130.9
"EQVI",758892,"R",3,2010,7,19,2013,7,19,"M","VSR","HYH","A",10,12,2012,17,18,0,"PEST","SALIENT",875,14,28.32,33.67,5.35,1.19,32.77,30.5,30,"C",113,"HOPP",263000,0.0,11,83.0
"EQ",867371,"R",4,2012,8,16,2013,12,28,"E","EHQ","ZWP","A",13,12,2012,18,17,4,"JOPP","PRT",119,25,35.53,39.7,4.17,1.12,38.39,31.5,21,"J",311,"GOND",286000,0.0,11,129.7
"XWOA",545611,"L",3,2011,11,6,2014,11,6,"U","PLM","USE","T",11,12,2012,1,46,0,"BMRK","SALIENT",401,23,34.48,41.28,6.8,1.2,22.64,34.2,32,"T",108,"TANK",263000,0.0,11,98.6
"EQVI",903359,"L",2,2008,1,4,2013,12,20,"E","VSE","HEP","A",11,12,2012,3,23,52,"VELO","PRT",1803,68,37.96,44.35,6.39,1.17,23.34,20.9,20,"J",311,"GOND",286000,0.0,11,126.0
"JUGA",5610,"L",3,2011,7,10,2014,7,10,"E","NFF","UZP","A",11,12,2012,3,24,35,"AMAZ","PRT",520,26,31.5,33.66,2.16,1.07,50.22,20.7,20,"J",311,"GOND",286000,0.0,11,104.3
"EQVI",560653,"L",5,2012,6,25,2013,10,6,"B","RLJ","VHD","A",11,12,2012,15,12,57,"KYRO","PRT",169,18,34.3,38.03,3.73,1.11,49.84,109.5,89,"S",162,"IFLT",801000,0.0,11,267.0
"EQVI",983980,"R",1,2010,7,8,2013,7,8,"E","FHF","VFP","A",12,12,2012,4,34,43,"VELO","PRT",888,95,36.07,40.79,4.72,1.13,26.41,21.9,24,"K",341,"HOPP",286000,0.0,11,120.2
"MKPA",224861,"R",1,2011,3,23,2014,3,23,"E","SDP","QDP","A",12,12,2012,22,15,7,"AMAZ","PRT",630,38,40.68,44.69,4.01,1.1,47.92,22.4,23,"H",330,"HOPP",286000,0.0,73,121.3
"WJQA",63681,"R",4,2009,2,26,2014,8,28,"E","VOS","ENP","D",12,12,2012,11,41,55,"WHET","PRT",1385,95,35.24,39.6,4.36,1.12,47.92,22.8,20,"J",311,"GOND",286000,0.0,65,123.2
"EVSA",4837,"L",1,2010,5,2,2013,1,17,"E","EVE","UZP","A",14,12,2012,14,37,46,"JOPP","PRT",957,19,53.72,73.6,19.88,1.37,31.97,28.8,21,"J",311,"GOND",286000,5902.29,75,143.1
"FROA",7077,"R",2,2011,1,20,2013,1,15,"E","VSF","EWP","B",19,12,2012,7,47,23,"JOPP","PRT",699,76,47.33,63.39,16.06,1.34,38.1,26.6,21,"J",311,"GOND",286000,5649.85,11,132.5
"DWZ",642484,"R",2,2010,6,10,2013,6,10,"X","SJD","GUD","A",18,12,2012,15,39,0,"COCH","SALIENT",922,103,39.38,47.71,8.33,1.21,53.39,31.3,30,"C",114,"HOPP",286000,0.0,60,106.7
"GHHA",8839,"R",4,2012,7,24,2013,11,22,"E","VXG","VFP","A",24,12,2012,14,15,57,"JOPP","PRT",153,35,39.67,44.74,5.07,1.13,42.4,34.0,22,"J",301,"GOND",286000,0.0,61,131.1
"DWZ",642546,"R",2,2009,12,23,2012,12,23,"X","FSD","QBI","A",18,12,2012,18,13,30,"CHRS","PRT",1091,45,42.94,60.57,17.63,1.41,34.23,31.6,31,"C",114,"HOPP",286000,5243.19,11,116.6
"EQVI",903165,"L",2,2012,9,7,2014,3,6,"E","RNR","HEP","A",22,12,2012,16,25,0,"ROGN","SALIENT",106,61,31.68,35.63,3.95,1.12,36.51,22.0,21,"J",311,"GOND",286000,32.6,11,120.8
"EQVI",718766,"R",2,2011,8,11,2014,8,11,"X","WDF","PFR","H",21,12,2012,3,17,58,"MALT","PRT",498,41,39.57,43.74,4.17,1.11,57.48,31.6,31,"C",114,"HOPP",286000,0.0,11,113.3
"NFOA",828412,"R",3,2010,11,6,2014,7,28,"E","NFO","EWP","A",22,12,2012,10,23,17,"AMAZ","PRT",777,26,35.85,38.17,2.32,1.06,48.38,26.2,22,"J",311,"GOND",286000,0.0,11,110.4
"EQVI",904094,"R",3,2009,10,22,2014,8,22,"E","VSV","DWP","A",21,12,2012,3,25,0,"ROGN","SALIENT",1156,33,38.06,42.04,3.98,1.1,37.95,21.4,20,"J",311,"GOND",286000,0.0,11,125.4
"KLSA",57585,"R",4,2010,8,7,2013,11,13,"E","VOS","UZP","D",21,12,2012,4,58,0,"ROGN","SALIENT",867,103,32.01,36.03,4.02,1.13,35.06,21.0,21,"J",311,"GOND",286000,0.0,11,122.9
"EQVI",905745,"L",4,2012,3,20,2013,10,18,"E","FHE","QDP","A",22,12,2012,7,56,48,"PRAI","PRT",277,75,34.06,37.85,3.79,1.11,57.98,23.4,20,"J",311,"GOND",286000,0.0,11,109.7
"UZVA",58530,"L",2,2011,10,1,2014,10,1,"E","PKV","EWP","C",23,12,2012,17,50,17,"AMAZ","PRT",449,39,33.1,36.66,3.56,1.11,49.72,23.7,24,"K",341,"HOPP",286000,0.0,11,100.7
"GHHA",8626,"L",3,2008,9,2,2014,5,5,"E","VXG","GNP","A",1,1,2013,1,43,37,"JOPP","PRT",1582,98,42.81,78.16,35.35,1.83,37.03,29.8,23,"J",301,"GOND",286000,215.76,11,125.1
"EQVI",710039,"R",3,2011,4,17,2014,4,9,"X","FSD","WFZ","A",27,12,2012,20,16,0,"COCH","SALIENT",620,64,34.84,36.89,2.05,1.06,55.13,32.1,31,"C",114,"HOPP",286000,0.0,11,101.4
"GWWA",18559,"R",8,2011,8,27,2014,8,27,"Z","VEG","DWJ","K",29,12,2012,19,28,15,"SEYM","PRT",490,42,10.81,11.99,1.18,1.11,52.75,108.5,64,"S",635,"IFLT",483300,0.0,64,105.2
"IXUA",293840,"R",4,2012,4,9,2013,10,1,"E","WKK","QDP","A",2,1,2013,8,3,55,"AMAZ","PRT",268,129,30.68,33.74,3.06,1.1,48.98,25.5,21,"J",311,"GOND",286000,0.0,11,117.9
"EQ",867426,"R",2,2008,8,20,2013,1,7,"E","VSW","QDP","A",28,12,2012,23,49,0,"ROGN","SALIENT",1591,74,37.67,48.68,11.01,1.29,31.85,22.2,21,"J",311,"GOND",286000,0.0,11,123.6
"EQVI",992738,"L",2,2012,6,30,2014,12,29,"E","RNR","HEP","A",1,1,2013,22,37,33,"WHET","PRT",185,16,37.78,44.52,6.74,1.18,35.51,20.7,21,"J",311,"GOND",286000,0.0,11,122.8
"XWOA",546461,"L",2,2011,7,28,2014,7,28,"U","IWH","HSS","T",30,12,2012,18,56,33,"MALT","PRT",521,24,35.58,42.1,6.52,1.18,34.52,39.9,36,"T",208,"TANK",286000,0.0,11,101.9
"EQVI",992561,"R",3,2008,2,21,2013,7,2,"E","FHE","QDP","A",29,12,2012,11,22,59,"PRAI","PRT",1773,54,35.12,44.47,9.35,1.27,31.37,18.9,20,"J",311,"GOND",286000,0.0,60,107.4
"WAXA",83861,"L",1,2011,6,29,2014,6,29,"E","NFP","EWP","A",31,12,2012,23,1,33,"AMAZ","PRT",551,99,33.72,36.14,2.42,1.07,48.86,24.7,24,"K",346,"HOPP",286000,0.0,60,114.2
"FROA",7397,"L",3,2010,2,1,2013,2,1,"E","VSF","EDP","B",6,1,2013,0,26,10,"JOPP","PRT",1069,88,39.65,46.96,7.31,1.18,38.84,25.8,22,"J",311,"GOND",286000,0.0,11,129.2
"EQVI",904821,"L",4,2010,7,10,2013,7,10,"E","FUG","HWP","A",10,1,2013,15,22,0,"ROGN","SALIENT",915,98,34.07,39.71,5.64,1.17,39.42,20.6,20,"J",311,"GOND",286000,1652.84,60,121.0
"EQ",866876,"R",3,2012,8,7,2014,3,10,"E","EHQ","EWP","A",11,1,2013,4,50,55,"JOPP","PRT",157,94,38.04,47.23,9.19,1.24,39.69,28.0,20,"J",311,"GOND",286000,0.0,11,130.9
"WAXA",223228,"R",4,2010,1,4,2014,12,21,"E","POP","EWP","A",9,1,2013,1,47,10,"AMAZ","PRT",1101,104,34.16,39.3,5.14,1.15,49.1,23.5,24,"K",346,"HOPP",286000,0.0,11,112.8
"FWFA",66877,"L",4,2010,12,5,2013,12,5,"U","QVZ","HOX","T",10,1,2013,13,25,0,"BMRK","SALIENT",767,83,34.52,43.85,9.33,1.27,32.85,32.6,33,"T",108,"TANK",263000,0.0,11,93.9
"NSOA",9368,"R",2,2009,2,8,2014,9,8,"E","OUW","EWP","A",9,1,2013,8,19,40,"AMAZ","PRT",1431,66,34.84,37.1,2.26,1.06,48.39,28.2,24,"K",341,"HOPP",286000,0.0,65,115.8
"EQVI",903485,"L",3,2008,3,5,2013,1,23,"E","FRE","QDP","A",15,1,2013,18,7,8,"JOPP","PRT",1777,33,41.13,49.83,8.7,1.21,41.26,26.4,20,"J",311,"GOND",286000,0.0,11,137.6
"EQVI",933682,"R",3,2012,5,29,2013,1,31,"U","PDG","DOO","T",14,1,2013,9,37,0,"COCH","SALIENT",230,130,33.13,39.6,6.47,1.2,55.07,30.5,28,"K",384,"HOPP",263000,0.0,11,105.9
"FDLA",73524,"R",3,2010,4,18,2013,4,18,"E","VOS","FNP","A",19,1,2013,3,20,0,"ROGN","SALIENT",1007,68,35.32,40.6,5.28,1.15,36.94,21.0,21,"J",311,"GOND",286000,0.0,11,123.5
"EVSA",4160,"R",1,2011,2,23,2014,2,23,"E","EVE","UZP","A",18,1,2013,19,45,20,"JOPP","PRT",695,5,37.53,43.49,5.96,1.16,42.58,32.2,21,"J",311,"GOND",286000,0.0,60,136.5
"EQVI",992307,"R",4,2011,4,4,2014,11,24,"E","EHQ","ZWP","A",20,1,2013,11,25,44,"JOPP","PRT",657,95,31.96,37.82,5.86,1.18,39.62,29.0,20,"J",311,"GOND",286000,0.0,11,120.1
"EQVI",503889,"L",4,2011,3,6,2014,3,6,"B","PHP","VFR","A",15,1,2013,4,38,0,"BAGD","SALIENT",681,21,34.79,40.9,6.11,1.18,54.61,95.1,94,"S",167,"IFLT",800000,0.0,11,210.7
"EQVI",15550,"L",3,2011,12,1,2014,12,1,"M","EDU","VWR","A",15,1,2013,14,15,0,"WINT","SALIENT",411,58,30.38,37.74,7.36,1.24,54.68,47.7,45,"R",600,"BOXC",263000,0.0,65,67.9
"NFOA",28369,"L",1,2011,11,12,2014,7,15,"E","VDL","EWP","A",16,1,2013,5,7,59,"AMAZ","PRT",431,47,41.6,45.51,3.91,1.09,44.49,28.0,22,"J",311,"GOND",286000,0.0,65,119.0
"NFOA",34450,"R",4,2011,9,4,2014,9,4,"E","NFO","HWP","A",18,1,2013,17,4,15,"AMAZ","PRT",502,63,34.22,37.51,3.29,1.1,48.27,20.1,21,"J",311,"GOND",286000,0.0,11,115.3
"PENA",434571,"R",1,2010,3,8,2013,3,8,"H","QWZ","WXO","A",17,1,2013,17,12,0,"COCH","SALIENT",1046,31,35.17,73.46,38.29,2.09,21.88,27.0,26,"C",112,"HOPP",286000,574.5,11,112.7
"XWOA",539436,"L",3,2010,12,23,2013,12,23,"U","FAE","HOX","T",19,1,2013,19,43,0,"COCH","SALIENT",758,55,33.64,39.32,5.68,1.17,51.26,33.5,33,"T",108,"TANK",263000,0.0,11,95.6
"URQA",73386,"R",4,2011,9,21,2014,9,21,"E","VDL","EDP","A",27,1,2013,3,36,13,"AMAZ","PRT",494,75,36.26,39.38,3.12,1.09,56.18,21.3,21,"J",311,"GOND",286000,0.0,11,121.0
"OFUA",88547,"R",3,2011,11,16,2013,10,2,"E","KDI","GIP","B",27,1,2013,22,6,0,"ROGN","SALIENT",438,96,33.92,37.98,4.06,1.12,36.13,20.7,20,"J",311,"GOND",286000,0.0,78,123.9
"EQVI",560061,"R",6,2011,10,10,2014,3,11,"B","FKF","VWS","A",23,1,2013,23,34,0,"COCH","SALIENT",471,15,32.43,43.67,11.24,1.35,50.6,88.8,89,"S",162,"IFLT",801500,0.0,75,281.8
"AFOA",93158,"L",3,2010,2,18,2013,2,18,"E","PLF","EWP","A",24,1,2013,14,21,0,"ROGN","SALIENT",1071,46,31.83,36.25,4.42,1.14,23.0,26.8,24,"K",341,"HOPP",286000,0.0,11,120.4
"EQVI",903814,"L",2,2011,5,6,2014,12,26,"E","EHQ","ZWP","A",28,1,2013,14,20,30,"JOPP","PRT",633,74,41.94,44.48,2.54,1.06,37.81,32.2,21,"J",311,"GOND",286000,8313.04,11,128.3
